SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,L,A,B,X,Y,Z
397,100,70,100,0,43.15,-6.59,2.34,11.82,13.26,10.2
398,100,100,100,0,40.48,-0.45,-0.09,11.07,11.55,9.55
399,0,0,0,20,70.62,0.14,3.21,40.19,41.64,32.18
400,0,10,0,20,67.38,4.87,2.08,37.28,37.14,29.32
401,0,20,0,20,64.26,9.51,1.08,34.65,33.13,26.69
402,0,40,0,20,59.21,17.61,-0.33,30.8,27.26,22.65
403,0,70,0,20,53.37,26.55,-1.13,26.62,21.39,18.14
404,0,100,0,20,48.93,33.98,-0.48,23.85,17.54,14.65
405,10,0,0,20,67.68,-2.77,-0.54,35.37,37.54,31.32
406,10,10,0,20,64.71,1.84,-1.36,32.99,33.68,28.6
407,10,20,0,20,61.76,6.34,-2.22,30.72,30.12,26.1
408,10,40,0,20,56.92,14.06,-3.36,27.31,24.84,22.17
409,10,70,0,20,51.54,22.56,-3.91,23.8,19.73,17.98
410,10,100,0,20,47.44,29.59,-3.26,21.46,16.35,14.73
411,20,0,0,20,64.93,-5.46,-4.05,31.22,33.95,30.52
412,20,10,0,20,62.1,-1,-4.71,29.16,30.52,27.91
413,20,20,0,20,59.34,3.34,-5.38,27.23,27.39,25.52
414,20,40,0,20,54.76,10.7,-6.23,24.27,22.7,21.74
415,20,70,0,20,49.76,18.82,-6.58,21.3,18.22,17.8
416,20,100,0,20,46.03,25.39,-5.89,19.35,15.29,14.81
417,40,0,0,20,60.57,-9.62,-9.65,25.38,28.76,29.32
418,40,10,0,20,57.99,-5.51,-10.04,23.74,25.95,26.87
419,40,20,0,20,55.49,-1.46,-10.41,22.25,23.41,24.62
420,40,40,0,20,51.34,5.29,-10.85,19.91,19.56,21.1
421,40,70,0,20,46.99,12.78,-10.79,17.72,16.01,17.55
422,40,100,0,20,43.8,18.73,-9.98,16.3,13.7,14.91
423,70,0,0,20,55.63,-13.97,-15.77,19.76,23.55,27.86
424,70,10,0,20,53.48,-10.23,-15.79,18.67,21.49,25.7
425,70,20,0,20,51.32,-6.53,-15.83,17.6,19.55,23.66
426,70,40,0,20,47.83,-0.4,-15.69,15.99,16.66,20.5
427,70,70,0,20,44.08,6.3,-15.12,14.4,13.9,17.25
428,70,100,0,20,41.41,11.45,-14.13,13.39,12.12,14.92
429,100,0,0,20,51.42,-17.31,-20.69,15.75,19.63,26.48
430,100,10,0,20,49.64,-13.72,-20.36,15.05,18.12,24.55
431,100,20,0,20,47.92,-10.25,-19.99,14.4,16.73,22.76
432,100,40,0,20,45.05,-4.52,-19.29,13.34,14.58,19.92
433,100,70,0,20,41.93,1.44,-18.15,12.22,12.46,16.96
434,100,100,0,20,39.72,5.5,-17.04,11.44,11.09,14.92
435,0,0,10,20,70.08,-0.52,9.27,39.23,40.86,27.78
436,0,10,10,20,66.91,4.34,7.74,36.5,36.52,25.49
437,0,20,10,20,63.82,9.01,6.39,33.94,32.58,23.3
438,0,40,10,20,58.74,17.12,4.26,30.13,26.75,19.95
439,0,70,10,20,53.06,26.18,2.52,26.2,21.1,16.33
440,0,100,10,20,48.73,33.66,2.38,23.58,17.37,13.43
441,10,0,10,20,67.21,-3.48,5.44,34.57,36.91,27.11
442,10,10,10,20,64.26,1.13,4.15,32.25,33.12,24.94
443,10,20,10,20,61.32,5.68,2.97,30.04,29.61,22.83
444,10,40,10,20,56.52,13.42,1.1,26.73,24.44,19.63
445,10,70,10,20,51.24,22.05,-0.35,23.4,19.47,16.21
446,10,100,10,20,47.23,29.15,-0.43,21.18,16.19,13.52
447,20,0,10,20,64.45,-6.27,1.83,30.45,33.36,26.45
448,20,10,10,20,61.64,-1.8,0.67,28.44,29.98,24.36
449,20,20,10,20,58.91,2.56,-0.27,26.59,26.94,22.36
450,20,40,10,20,54.37,9.96,-1.88,23.71,22.32,19.28
451,20,70,10,20,49.47,18.17,-3.07,20.91,17.98,16.08
452,20,100,10,20,45.82,24.84,-3.06,19.07,15.14,13.59
453,40,0,10,20,60.06,-10.69,-3.99,24.61,28.19,25.45
454,40,10,10,20,57.53,-6.51,-4.85,23.08,25.47,23.52
455,40,20,10,20,55.09,-2.48,-5.54,21.66,23.02,21.68
456,40,40,10,20,51.01,4.38,-6.62,19.45,19.28,18.8
457,40,70,10,20,46.72,11.96,-7.4,17.35,15.81,15.9
458,40,100,10,20,43.57,18,-7.17,16,13.54,13.68
459,70,0,10,20,55.21,-15.31,-10.33,19.13,23.13,24.32
460,70,10,10,20,53.1,-11.46,-10.8,18.12,21.14,22.62
461,70,20,10,20,50.98,-7.74,-11.15,17.11,19.25,20.94
462,70,40,10,20,47.52,-1.47,-11.66,15.58,16.42,18.35
463,70,70,10,20,43.86,5.36,-11.86,14.09,13.74,15.71
464,70,100,10,20,41.21,10.56,-11.41,13.12,12,13.74
465,100,0,10,20,51.04,-18.81,-15.43,15.21,19.3,23.18
466,100,10,10,20,49.28,-15.14,-15.51,14.56,17.82,21.66
467,100,20,10,20,47.58,-11.62,-15.45,13.94,16.46,20.17
468,100,40,10,20,44.73,-5.81,-15.37,12.94,14.35,17.85
469,100,70,10,20,41.69,0.38,-15.01,11.92,12.3,15.47
470,100,100,10,20,39.52,4.61,-14.28,11.2,10.97,13.73
471,0,0,20,20,69.61,-1.06,15.17,38.42,40.2,23.95
472,0,10,20,20,66.45,3.81,13.34,35.75,35.9,22.04
473,0,20,20,20,63.38,8.55,11.55,33.27,32.04,20.29
474,0,40,20,20,58.29,16.66,8.74,29.49,26.27,17.53
475,0,70,20,20,52.72,25.79,6.15,25.76,20.8,14.62
476,0,100,20,20,48.53,33.3,5.14,23.3,17.21,12.32
477,10,0,20,20,66.73,-4.14,11.25,33.78,36.28,23.39
478,10,10,20,20,63.79,0.52,9.64,31.53,32.55,21.59
479,10,20,20,20,60.88,5.09,7.99,29.38,29.11,19.93
480,10,40,20,20,56.11,12.85,5.48,26.15,24.02,17.31
481,10,70,20,20,50.92,21.58,3.21,22.99,19.2,14.56
482,10,100,20,20,47.02,28.7,2.33,20.89,16.03,12.39
483,20,0,20,20,63.98,-7.02,7.53,29.71,32.78,22.85
484,20,10,20,20,61.19,-2.55,6,27.76,29.46,21.16
485,20,20,20,20,58.5,1.79,4.62,25.97,26.49,19.58
486,20,40,20,20,54,9.27,2.38,23.2,21.97,17.07
487,20,70,20,20,49.18,17.57,0.41,20.52,17.74,14.47
488,20,100,20,20,45.58,24.32,-0.32,18.77,14.96,12.45
489,40,0,20,20,59.59,-11.66,1.47,23.92,27.67,22.06
490,40,10,20,20,57.08,-7.44,0.29,22.44,25.01,20.49
491,40,20,20,20,54.68,-3.38,-0.79,21.1,22.62,19.03
492,40,40,20,20,50.68,3.55,-2.51,19,18.99,16.71
493,40,70,20,20,46.43,11.16,-4.01,16.97,15.59,14.35
494,40,100,20,20,43.34,17.31,-4.48,15.71,13.39,12.56
495,70,0,20,20,54.79,-16.5,-5.09,18.55,22.72,21.19
496,70,10,20,20,52.7,-12.62,-5.84,17.58,20.78,19.8
497,70,20,20,20,50.64,-8.83,-6.55,16.65,18.96,18.47
498,70,40,20,20,47.22,-2.49,-7.74,15.19,16.19,16.41
499,70,70,20,20,43.61,4.39,-8.58,13.77,13.57,14.24
500,70,100,20,20,41.01,9.73,-8.74,12.86,11.87,12.64
501,100,0,20,20,50.65,-20.25,-10.32,14.69,18.97,20.25
502,100,10,20,20,48.91,-16.53,-10.7,14.07,17.52,19.01
503,100,20,20,20,47.23,-12.93,-11.05,13.5,16.2,17.85
504,100,40,20,20,44.45,-7,-11.6,12.58,14.15,16.02
505,100,70,20,20,41.44,-0.7,-11.87,11.61,12.14,14.07
506,100,100,20,20,39.32,3.78,-11.63,10.96,10.84,12.63
507,0,0,40,20,68.89,-1.8,25.03,37.23,39.19,18.42
508,0,10,40,20,65.74,3.1,22.5,34.64,35,17.13
509,0,20,40,20,62.69,7.87,20.07,32.24,31.21,15.93
510,0,40,40,20,57.59,15.99,16.1,28.54,25.54,14.02
511,0,70,40,20,52.22,25.18,12.06,25.09,20.34,12.13
512,0,100,40,20,48.21,32.75,9.72,22.88,16.96,10.62
513,10,0,40,20,66.01,-5.1,20.86,32.61,35.33,18.05
514,10,10,40,20,63.11,-0.42,18.57,30.47,31.72,16.87
515,10,20,40,20,60.2,4.19,16.27,28.39,28.34,15.72
516,10,40,40,20,55.45,11.98,12.64,25.26,23.37,13.93
517,10,70,40,20,50.42,20.78,9,22.33,18.77,12.11
518,10,100,40,20,46.68,27.95,6.87,20.44,15.78,10.69
519,20,0,40,20,63.23,-8.23,16.86,28.56,31.87,17.7
520,20,10,40,20,60.5,-3.72,14.72,26.73,28.68,16.58
521,20,20,40,20,57.82,0.69,12.68,25.01,25.78,15.52
522,20,40,40,20,53.37,8.2,9.34,22.37,21.39,13.82
523,20,70,40,20,48.69,16.6,6.09,19.89,17.34,12.09
524,20,100,40,20,45.25,23.39,4.21,18.31,14.72,10.75
525,40,0,40,20,58.8,-13.17,10.46,22.82,26.82,17.16
526,40,10,40,20,56.38,-8.96,8.68,21.46,24.29,16.14
527,40,20,40,20,54.02,-4.8,6.94,20.21,21.99,15.19
528,40,40,40,20,50.12,2.19,4.16,18.27,18.52,13.66
529,40,70,40,20,45.99,9.97,1.51,16.42,15.26,12.06
530,40,100,40,20,42.96,16.13,-0.07,15.23,13.13,10.85
531,70,0,40,20,54.07,-18.43,3.48,17.59,22.04,16.65
532,70,10,40,20,52.04,-14.48,2.13,16.72,20.18,15.75
533,70,20,40,20,50.02,-10.62,0.8,15.86,18.43,14.89
534,70,40,40,20,46.71,-4.13,-1.32,14.55,15.8,13.52
535,70,70,40,20,43.21,2.91,-3.34,13.27,13.3,12.08
536,70,100,40,20,40.68,8.42,-4.42,12.45,11.67,10.99
537,100,0,40,20,50.01,-22.54,-2.04,13.87,18.43,16.03
538,100,10,40,20,48.31,-18.78,-3.03,13.31,17.04,15.24
539,100,20,40,20,46.67,-15.03,-3.96,12.8,15.77,14.49
540,100,40,40,20,43.96,-8.91,-5.49,11.99,13.81,13.31
541,100,70,40,20,41.07,-2.37,-6.79,11.15,11.91,12
542,100,100,40,20,38.98,2.44,-7.34,10.59,10.65,10.98
543,0,0,70,20,67.97,-2.24,36.15,35.9,37.93,13.21
544,0,10,70,20,64.91,2.68,32.76,33.48,33.94,12.54
545,0,20,70,20,61.94,7.47,29.51,31.23,30.33,11.89
546,0,40,70,20,56.97,15.61,24.12,27.75,24.89,10.84
547,0,70,70,20,51.65,24.67,18.41,24.4,19.84,9.77
548,0,100,70,20,47.69,32.11,14.77,22.24,16.55,8.85
549,10,0,70,20,65.18,-5.78,31.56,31.44,34.28,13.14
550,10,10,70,20,62.34,-1.08,28.42,29.42,30.8,12.51
551,10,20,70,20,59.52,3.54,25.39,27.49,27.6,11.87
552,10,40,70,20,54.86,11.37,20.4,24.52,22.79,10.87
553,10,70,70,20,49.92,20.07,15.23,21.71,18.35,9.83
554,10,100,70,20,46.22,27.14,11.8,19.87,15.43,8.97
555,20,0,70,20,62.47,-9.08,27.17,27.51,30.96,13.04
556,20,10,70,20,59.8,-4.57,24.26,25.79,27.91,12.43
557,20,20,70,20,57.18,-0.14,21.46,24.17,25.1,11.84
558,20,40,70,20,52.81,7.38,16.86,21.67,20.87,10.87
559,20,70,70,20,48.22,15.72,12.17,19.31,16.97,9.87
560,20,100,70,20,44.82,22.43,8.97,17.78,14.41,9.09
561,40,0,70,20,58.13,-14.4,20.16,21.91,26.1,12.86
562,40,10,70,20,55.77,-10.14,17.66,20.66,23.68,12.31
563,40,20,70,20,53.44,-5.99,15.24,19.47,21.46,11.76
564,40,40,70,20,49.59,1.09,11.3,17.63,18.08,10.87
565,40,70,70,20,45.55,8.8,7.3,15.89,14.94,9.95
566,40,100,70,20,42.62,14.96,4.63,14.79,12.9,9.25
567,70,0,70,20,53.32,-20.04,12.51,16.71,21.34,12.64
568,70,10,70,20,51.36,-16.08,10.52,15.92,19.58,12.15
569,70,20,70,20,49.4,-12.14,8.59,15.14,17.92,11.65
570,70,40,70,20,46.19,-5.59,5.44,13.95,15.41,10.87
571,70,70,70,20,42.82,1.54,2.28,12.8,13.04,10.05
572,70,100,70,20,40.32,7.12,0.25,12.04,11.45,9.37
573,100,0,70,20,49.24,-24.44,6.53,13.06,17.79,12.27
574,100,10,70,20,47.63,-20.65,4.9,12.58,16.5,11.87
575,100,20,70,20,46.06,-16.93,3.41,12.13,15.31,11.46
576,100,40,70,20,43.44,-10.68,0.97,11.42,13.45,10.79
577,100,70,70,20,40.63,-4.09,-1.45,10.67,11.64,10.03
578,100,100,70,20,38.53,0.97,-2.72,10.14,10.39,9.34
579,0,0,100,20,67.25,-2,46.17,35.05,36.96,9.52
580,0,10,100,20,64.26,2.84,41.97,32.72,33.12,9.24
581,0,20,100,20,61.36,7.61,37.84,30.6,29.66,8.99
582,0,40,100,20,56.45,15.65,31.07,27.2,24.37,8.52
583,0,70,100,20,51.16,24.45,23.88,23.86,19.4,8.01
584,0,100,100,20,47.25,31.65,19,21.73,16.21,7.53
585,10,0,100,20,64.48,-5.67,41.03,30.64,33.39,9.62
586,10,10,100,20,61.69,-1.05,37.22,28.7,30.04,9.33
587,10,20,100,20,58.93,3.54,33.38,26.85,26.95,9.07
588,10,40,100,20,54.34,11.26,27.07,23.99,22.3,8.62
589,10,70,100,20,49.45,19.74,20.55,21.22,17.96,8.11
590,10,100,100,20,45.81,26.62,15.99,19.41,15.13,7.66
591,20,0,100,20,61.79,-9.15,36.09,26.77,30.16,9.72
592,20,10,100,20,59.15,-4.67,32.54,25.1,27.19,9.42
593,20,20,100,20,56.6,-0.32,29.02,23.56,24.51,9.17
594,20,40,100,20,52.31,7.09,23.26,21.15,20.42,8.71
595,20,70,100,20,47.78,15.25,17.29,18.85,16.62,8.21
596,20,100,100,20,44.44,21.84,13.07,17.36,14.14,7.8
597,40,0,100,20,57.49,-14.68,28.21,21.27,25.43,9.85
598,40,10,100,20,55.12,-10.49,25.11,20.02,23.05,9.56
599,40,20,100,20,52.85,-6.44,22.13,18.88,20.91,9.29
600,40,40,100,20,49.06,0.56,17.23,17.12,17.64,8.82
601,40,70,100,20,45.14,8.16,12.17,15.47,14.64,8.36
602,40,100,100,20,42.26,14.25,8.57,14.41,12.67,8
603,70,0,100,20,52.59,-20.58,19.62,16.06,20.68,9.9
604,70,10,100,20,50.68,-16.69,17.19,15.31,19,9.64
605,70,20,100,20,48.78,-12.8,14.78,14.59,17.41,9.38
606,70,40,100,20,45.68,-6.4,10.91,13.48,15.04,8.96
607,70,70,100,20,42.38,0.65,6.86,12.38,12.74,8.51
608,70,100,100,20,39.94,6.17,3.99,11.66,11.21,8.15
609,100,0,100,20,48.57,-25.2,12.91,12.51,17.24,9.83
610,100,10,100,20,47.02,-21.42,10.9,12.09,16.04,9.63
611,100,20,100,20,45.52,-17.76,8.94,11.68,14.92,9.45
612,100,40,100,20,42.98,-11.77,5.79,11,13.15,9.1
613,100,70,100,20,40.2,-5.18,2.63,10.27,11.37,8.63
614,100,100,100,20,38.11,-0.38,0.75,9.74,10.15,8.17
615,0,0,0,40,60.46,0.43,3.46,27.73,28.64,21.82
616,0,20,0,40,55.75,7.53,1.85,24.52,23.66,18.66
617,0,40,0,40,51.99,13.7,0.75,22.26,20.13,16.29
618,0,70,0,40,47.5,20.43,0.03,19.63,16.4,13.52
619,0,100,0,40,44.01,26.08,0.44,17.81,13.85,11.28
620,20,0,0,40,56.13,-3.85,-2.04,22.33,24.04,20.83
621,20,20,0,40,51.99,2.94,-3.06,20,20.13,17.94
622,20,40,0,40,48.59,8.64,-3.73,18.24,17.26,15.72
623,20,70,0,40,44.86,14.74,-4.14,16.4,14.44,13.38
624,20,100,0,40,42.03,19.71,-3.73,15.16,12.52,11.53
625,40,0,0,40,52.8,-7.08,-6.33,18.71,20.87,20.12
626,40,20,0,40,49.04,-0.71,-6.95,16.87,17.63,17.42
627,40,40,0,40,45.97,4.56,-7.34,15.47,15.25,15.35
628,40,70,0,40,42.81,10.22,-7.43,14.14,13.03,13.29
629,40,100,0,40,40.47,14.74,-6.92,13.27,11.53,11.69
630,70,0,0,40,48.99,-10.52,-11.05,15.12,17.59,19.24
631,70,20,0,40,45.86,-4.73,-11.26,13.86,15.16,16.9
632,70,40,0,40,43.31,0.05,-11.28,12.9,13.37,15.09
633,70,70,0,40,40.59,5.24,-10.94,11.93,11.61,13.17
634,70,100,0,40,38.64,9.22,-10.25,11.3,10.45,11.75
635,100,0,0,40,45.7,-13.25,-14.86,12.44,15.05,18.37
636,100,20,0,40,43.23,-7.76,-14.61,11.7,13.31,16.4
637,100,40,0,40,41.19,-3.26,-14.25,11.1,11.98,14.82
638,100,70,0,40,38.93,1.46,-13.43,10.43,10.62,13.04
639,100,100,0,40,37.32,4.65,-12.63,9.94,9.71,11.79
640,0,0,20,40,59.76,-0.54,12.44,26.73,27.86,17.02
641,0,20,20,40,55.09,6.74,9.77,23.69,23.01,14.79
642,0,40,20,40,51.26,12.91,7.68,21.42,19.49,13.09
643,0,70,20,40,47.07,19.81,5.59,19.14,16.07,11.32
644,0,100,20,40,43.87,25.55,4.69,17.59,13.75,9.86
645,20,0,20,40,55.45,-5.09,6.74,21.43,23.37,16.28
646,20,20,20,40,51.35,1.68,4.54,19.2,19.57,14.33
647,20,40,20,40,47.99,7.45,2.82,17.53,16.79,12.81
648,20,70,20,40,44.42,13.71,1.24,15.89,14.13,11.25
649,20,100,20,40,41.73,18.86,0.59,14.8,12.33,9.99
650,40,0,20,40,52.09,-8.67,2.16,17.82,20.22,15.78
651,40,20,20,40,48.44,-2.25,0.39,16.13,17.15,14
652,40,40,20,40,45.46,3.14,-0.97,14.86,14.88,12.61
653,40,70,20,40,42.34,8.9,-2.19,13.62,12.72,11.2
654,40,100,20,40,40.07,13.59,-2.6,12.83,11.29,10.09
655,70,0,20,40,48.5,-12.48,-2.93,14.44,17.19,15.33
656,70,20,20,40,45.42,-6.53,-4.17,13.28,14.85,13.75
657,70,40,20,40,42.89,-1.61,-5.18,12.38,13.08,12.53
658,70,70,20,40,40.22,3.64,-5.92,11.48,11.39,11.22
659,70,100,20,40,38.3,7.73,-6.1,10.9,10.26,10.22
660,100,0,20,40,45.38,-15.5,-7.02,11.92,14.81,14.82
661,100,20,20,40,42.86,-9.81,-7.77,11.19,13.06,13.45
662,100,40,20,40,40.8,-5.2,-8.32,10.62,11.74,12.37
663,100,70,20,40,38.58,-0.35,-8.64,10,10.41,11.18
664,100,100,20,40,36.99,3.08,-8.54,9.57,9.53,10.28
665,0,0,40,40,59.23,-1.2,19.78,26.01,27.28,13.7
666,0,20,40,40,54.57,6.14,16.16,23.05,22.52,12.11
667,0,40,40,40,50.73,12.34,13.23,20.82,19.03,10.88
668,0,70,40,40,46.74,19.29,10.05,18.76,15.82,9.74
669,0,100,40,40,43.75,25.09,8.13,17.42,13.67,8.81
670,20,0,40,40,54.94,-6.12,13.76,20.76,22.87,13.19
671,20,20,40,40,50.87,0.73,10.61,18.62,19.16,11.83
672,20,40,40,40,47.52,6.52,8.07,16.99,16.42,10.77
673,20,70,40,40,44.06,12.9,5.55,15.49,13.88,9.71
674,20,100,40,40,41.51,18.09,4.07,14.51,12.19,8.86
675,40,0,40,40,51.56,-9.94,8.97,17.16,19.75,12.81
676,40,20,40,40,47.98,-3.45,6.23,15.58,16.78,11.62
677,40,40,40,40,45.06,1.98,4.06,14.38,14.58,10.69
678,40,70,40,40,42.01,7.9,2.03,13.24,12.51,9.7
679,40,100,40,40,39.77,12.61,0.82,12.49,11.11,8.93
680,70,0,40,40,48.08,-14.05,3.54,13.9,16.86,12.61
681,70,20,40,40,45.03,-7.99,1.41,12.8,14.56,11.54
682,70,40,40,40,42.55,-2.95,-0.28,11.97,12.86,10.7
683,70,70,40,40,39.94,2.39,-1.9,11.14,11.22,9.81
684,70,100,40,40,38.05,6.6,-2.76,10.61,10.12,9.11
685,100,0,40,40,45.08,-17.34,-0.8,11.48,14.6,12.32
686,100,20,40,40,42.55,-11.48,-2.37,10.78,12.86,11.37
687,100,40,40,40,40.5,-6.74,-3.63,10.24,11.56,10.64
688,100,70,40,40,38.33,-1.76,-4.73,9.68,10.27,9.82
689,100,100,40,40,36.76,1.93,-5.2,9.3,9.41,9.17
690,0,0,70,40,58.48,-1.69,28.04,25.12,26.46,10.43
691,0,20,70,40,54,5.71,23.18,22.41,21.97,9.56
692,0,40,70,40,50.29,11.96,19.2,20.35,18.67,8.87
693,0,70,70,40,46.35,18.81,14.85,18.34,15.53,8.2
694,0,100,70,40,43.39,24.49,12.03,17.02,13.42,7.61
695,20,0,70,40,54.5,-6.96,21.49,20.19,22.45,10.33
696,20,20,70,40,50.5,-0.06,17.17,18.16,18.84,9.55
697,20,40,70,40,47.2,5.77,13.67,16.61,16.17,8.92
698,20,70,70,40,43.79,12.07,10.14,15.15,13.69,8.28
699,20,100,70,40,41.24,17.19,7.71,14.18,12.01,7.77
700,40,0,70,40,51.3,-11.08,16.31,16.76,19.53,10.23
701,40,20,70,40,47.73,-4.54,12.48,15.21,16.59,9.53
702,40,40,70,40,44.8,0.98,9.42,14.04,14.4,8.95
703,40,70,70,40,41.78,6.83,6.41,12.92,12.36,8.35
704,40,100,70,40,39.58,11.54,4.4,12.21,11,7.88
705,70,0,70,40,47.73,-15.48,10.43,13.43,16.58,10.14
706,70,20,70,40,44.73,-9.32,7.39,12.41,14.35,9.5
707,70,40,70,40,42.28,-4.22,4.94,11.62,12.68,8.99
708,70,70,70,40,39.74,1.23,2.5,10.86,11.09,8.46
709,70,100,70,40,37.85,5.51,0.93,10.35,10,8.01
710,100,0,70,40,44.68,-18.97,5.79,11.01,14.31,9.95
711,100,20,70,40,42.23,-13.1,3.37,10.39,12.65,9.42
712,100,40,70,40,40.23,-8.23,1.47,9.9,11.39,8.97
713,100,70,70,40,38.09,-3.14,-0.44,9.38,10.14,8.48
714,100,100,70,40,36.49,0.78,-1.45,9.03,9.26,8.02
715,0,0,100,40,57.86,-1.68,35.39,24.5,25.81,8.02
716,0,20,100,40,53.55,5.68,29.3,21.99,21.56,7.67
717,0,40,100,40,49.94,11.89,24.31,20.03,18.37,7.36
718,0,70,100,40,46.01,18.53,18.94,18.01,15.27,7.02
719,0,100,100,40,43.09,24.03,15.26,16.7,13.22,6.7
720,20,0,100,40,54.09,-7.22,28.12,19.78,22.06,8.22
721,20,20,100,40,50.16,-0.38,22.77,17.82,18.55,7.85
722,20,40,100,40,46.91,5.39,18.4,16.32,15.95,7.53
723,20,70,100,40,43.52,11.56,13.96,14.87,13.51,7.19
724,20,100,100,40,41.01,16.58,10.8,13.92,11.87,6.9
725,40,0,100,40,51.04,-11.51,22.35,16.48,19.3,8.36
726,40,20,100,40,47.44,-5.07,17.62,14.91,16.36,7.97
727,40,40,100,40,44.51,0.41,13.83,13.75,14.19,7.64
728,40,70,100,40,41.55,6.18,10.06,12.68,12.21,7.31
729,40,100,100,40,39.37,10.82,7.37,11.98,10.88,7.05
730,70,0,100,40,47.35,-16.1,15.8,13.09,16.29,8.41
731,70,20,100,40,44.39,-10,12.09,12.1,14.11,8.04
732,70,40,100,40,42,-4.99,9.12,11.35,12.5,7.74
733,70,70,100,40,39.48,0.44,6.04,10.61,10.94,7.42
734,70,100,100,40,37.62,4.7,3.86,10.11,9.87,7.17
735,100,0,100,40,44.3,-19.73,10.65,10.69,14.05,8.38
736,100,20,100,40,41.94,-13.89,7.66,10.12,12.46,8.09
737,100,40,100,40,39.98,-9.18,5.26,9.64,11.24,7.84
738,100,70,100,40,37.83,-4.04,2.8,9.14,9.99,7.52
739,100,100,100,40,36.22,-0.28,1.35,8.76,9.12,7.19
740,0,0,0,60,51.96,0.7,3.69,19.53,20.11,15.07
741,0,20,0,60,48.61,6.1,2.48,17.78,17.28,13.32
742,0,40,0,60,45.95,10.8,1.65,16.54,15.23,11.99
743,0,70,0,60,42.7,15.84,1.07,14.99,12.96,10.36
744,0,100,0,60,40.14,20.1,1.31,13.89,11.34,8.98
745,20,0,0,60,48.83,-2.57,-0.48,16.37,17.46,14.59
746,20,20,0,60,45.88,2.68,-1.28,15.08,15.18,12.97
747,20,40,0,60,43.45,7.07,-1.82,14.09,13.46,11.71
748,20,70,0,60,40.83,11.64,-2.18,13.03,11.76,10.36
749,20,100,0,60,38.84,15.38,-1.91,12.31,10.56,9.25
750,40,0,0,60,46.42,-5.06,-3.75,14.19,15.58,14.24
751,40,20,0,60,43.73,-0.1,-4.29,13.15,13.65,12.73
752,40,40,0,60,41.53,4,-4.65,12.34,12.2,11.55
753,40,70,0,60,39.37,8.26,-4.78,11.61,10.87,10.39
754,40,100,0,60,37.77,11.67,-4.43,11.13,9.96,9.45
755,70,0,0,60,43.65,-7.7,-7.36,11.96,13.59,13.8
756,70,20,0,60,41.44,-3.24,-7.68,11.25,12.14,12.53
757,70,40,0,60,39.64,0.45,-7.84,10.7,11.04,11.52
758,70,70,0,60,37.76,4.45,-7.66,10.16,9.95,10.42
759,70,100,0,60,36.41,7.51,-7.18,9.81,9.22,9.57
760,100,0,0,60,41.2,-9.86,-10.29,10.23,11.99,13.32
761,100,20,0,60,39.52,-5.67,-10.37,9.84,10.97,12.32
762,100,40,0,60,38.12,-2.21,-10.28,9.52,10.16,11.46
763,100,70,0,60,36.55,1.52,-9.75,9.14,9.29,10.42
764,100,100,0,60,35.41,4.01,-9.2,8.86,8.71,9.66
765,0,0,20,60,51.66,-0.13,10.46,19.11,19.84,12.35
766,0,20,20,60,48.27,5.46,8.45,17.39,17.01,11.06
767,0,40,20,60,45.5,10.21,6.86,16.09,14.9,10.06
768,0,70,20,60,42.51,15.35,5.26,14.77,12.83,9.02
769,0,100,20,60,40.21,19.67,4.54,13.86,11.38,8.13
770,20,0,20,60,48.5,-3.62,6.13,15.93,17.19,11.96
771,20,20,20,60,45.56,1.65,4.43,14.68,14.94,10.85
772,20,40,20,60,43.15,6.12,3.11,13.72,13.26,9.96
773,20,70,20,60,40.61,10.81,1.9,12.76,11.62,9.04
774,20,100,20,60,38.7,14.69,1.39,12.12,10.49,8.27
775,40,0,20,60,46.03,-6.4,2.62,13.71,15.29,11.71
776,40,20,20,60,43.43,-1.37,1.22,12.76,13.45,10.7
777,40,40,20,60,41.31,2.84,0.13,12.03,12.06,9.91
778,40,70,20,60,39.11,7.18,-0.8,11.3,10.72,9.07
779,40,100,20,60,37.5,10.73,-1.11,10.84,9.81,8.39
780,70,0,20,60,43.48,-9.32,-1.31,11.63,13.48,11.55
781,70,20,20,60,41.28,-4.72,-2.37,10.95,12.04,10.66
782,70,40,20,60,39.46,-0.91,-3.22,10.42,10.93,9.96
783,70,70,20,60,37.56,3.11,-3.84,9.88,9.84,9.18
784,70,100,20,60,36.18,6.24,-4,9.53,9.1,8.56
785,100,0,20,60,41.23,-11.71,-4.5,10.01,12.01,11.32
786,100,20,20,60,39.43,-7.35,-5.24,9.58,10.91,10.56
787,100,40,20,60,37.95,-3.8,-5.78,9.23,10.06,9.94
788,100,70,20,60,36.35,-0.03,-6.09,8.86,9.19,9.22
789,100,100,20,60,35.2,2.61,-6.06,8.59,8.6,8.66
790,0,0,40,60,51.42,-0.72,15.9,18.79,19.64,10.42
791,0,20,40,60,48.01,4.94,13.2,17.09,16.8,9.46
792,0,40,40,60,45.19,9.74,11,15.78,14.68,8.7
793,0,70,40,60,42.37,14.94,8.61,14.61,12.74,8.04
794,0,100,40,60,40.26,19.3,7.15,13.84,11.41,7.48
795,20,0,40,60,48.28,-4.53,11.37,15.62,17.02,10.15
796,20,20,40,60,45.34,0.83,8.97,14.39,14.79,9.35
797,20,40,40,60,42.92,5.35,7.03,13.45,13.1,8.72
