SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,L,A,B,X,Y,Z
80,40,100,40,0,46.88,20.5,-1.18,19.12,15.93,13.58
81,0,100,40,0,53.61,42.3,11.79,30.95,21.61,13.07
82,40,100,100,0,45.81,18.69,10,17.88,15.13,9.29
83,0,40,100,0,64.45,20.38,39.34,38.17,33.36,10.11
84,40,40,100,0,54.68,0.81,21.34,21.99,22.62,10.47
85,70,70,70,0,46.61,1.98,2.03,15.5,15.73,12.25
86,40,0,100,0,65.34,-18.63,35.25,28.22,34.48,11.93
87,100,40,100,0,46.7,-15.02,6.33,12.82,15.79,10.87
88,100,0,40,0,55.99,-28.84,-3.7,17.2,23.9,21.53
89,100,40,40,0,48.18,-11.58,-7.81,14.36,16.94,17.14
90,100,40,0,0,49.69,-5.89,-25.51,16.44,18.16,27.55
91,100,100,40,0,41.7,3.14,-9.93,12.32,12.3,13.5
92,70,100,20,0,44.3,12.28,-11.92,15.56,14.05,16.05
93,20,70,20,0,54.91,22.36,-0.54,27.22,22.85,19.09
94,20,70,40,0,54.33,21.27,6.72,26.33,22.28,15.49
95,20,100,70,0,49.2,29.09,10.61,23.01,17.76,10.88
96,20,70,70,0,53.66,20.37,14.71,25.43,21.66,12.07
97,20,70,100,0,53.05,20.01,21.4,24.72,21.09,9.6
98,20,20,70,0,65.32,-0.22,26.76,33.15,34.45,15.05
99,70,20,100,0,54.17,-16.26,17.98,18.08,22.14,11.27
100,70,20,70,0,55.11,-15.63,10.04,18.99,23.04,14.71
101,100,20,70,0,50.73,-21.7,3.39,14.5,19.03,14.35
102,70,20,20,0,56.94,-11.62,-9.47,21.41,24.86,25.5
103,100,70,20,0,44.92,-1.08,-15.81,13.79,14.48,18.19
104,70,70,20,0,47.72,5.36,-11.81,16.93,16.57,18.57
105,70,100,70,0,43.36,9.22,-0.57,14.37,13.4,11.24
106,40,70,40,0,50.86,12.57,0.81,20.98,19.14,15.46
107,20,40,20,0,61.17,11.55,1.83,31.45,29.44,23.3
108,70,100,100,0,42.81,8.15,4.07,13.81,13.03,9.5
109,20,40,40,0,60.47,10.36,10.81,30.31,28.65,18.28
110,70,70,100,0,45.96,1.01,7.79,14.86,15.24,10.02
111,40,40,70,0,55.47,1.25,13.59,22.83,23.39,13.59
112,20,20,40,0,66.23,0.67,15.14,34.54,35.62,20.94
113,20,20,20,0,67.02,1.94,4.7,35.93,36.66,27.36
114,100,70,100,0,43.15,-6.59,2.34,11.82,13.26,10.2
115,70,40,70,0,50.99,-7.27,6.04,17.2,19.26,13.52
116,40,20,40,0,61.36,-6.47,7.68,26.96,29.66,20.48
117,100,70,70,0,43.77,-5.26,-2.68,12.4,13.68,12.19
118,40,40,20,0,56.94,4.08,-4.42,24.91,24.86,22.74
119,100,100,70,0,41.07,1.27,-4.28,11.66,11.91,11.16
120,40,20,20,0,62.16,-4.79,-2.28,28.26,30.59,26.54
121,70,40,40,0,51.8,-5.53,-2.64,18.18,19.97,17.61
122,100,85,85,100,33.07,-0.39,1.33,7.26,7.57,5.96
123,100,85,85,80,34.12,-0.8,1.23,7.69,8.06,6.37
124,100,85,85,60,35.44,-1.13,1,8.28,8.72,6.95
125,80,65,65,100,33.86,0.06,1.74,7.66,7.94,6.16
126,80,65,65,80,35.34,-0.23,1.68,8.33,8.67,6.75
127,80,65,65,60,37.21,-0.61,1.45,9.23,9.65,7.59
128,80,65,65,40,39.53,-0.93,1.08,10.45,10.97,8.75
129,60,45,45,100,34.62,0.43,2.21,8.06,8.31,6.35
130,60,45,45,80,36.81,0.11,2.17,9.11,9.44,7.24
131,60,45,45,60,39.48,-0.3,1.94,10.51,10.94,8.49
132,60,45,45,40,42.73,-0.69,1.6,12.41,12.98,10.21
133,60,45,45,20,46.94,-1.18,1.08,15.2,15.97,12.79
134,40,27,27,100,35.28,0.64,2.7,8.4,8.64,6.49
135,40,27,27,80,38.7,0.26,2.57,10.14,10.49,7.96
136,40,27,27,60,42.57,-0.19,2.33,12.38,12.87,9.9
137,40,27,27,40,47.17,-0.72,1.91,15.45,16.15,12.63
138,40,27,27,20,52.98,-1.39,1.25,19.99,21.03,16.8
139,40,27,27,10,56.49,-1.8,0.81,23.13,24.41,19.75
140,20,12,12,100,35.9,0.83,3.34,8.73,8.95,6.59
141,20,12,12,80,41.15,0.46,3.07,11.59,11.96,8.97
142,20,12,12,60,46.84,-0.03,2.69,15.33,15.9,12.16
143,20,12,12,40,53.22,-0.51,2.2,20.39,21.25,16.58
144,20,12,12,20,61,-1.09,1.53,27.93,29.25,23.3
145,20,12,12,10,65.65,-1.46,1.09,33.21,34.88,28.11
146,10,6,6,100,36.26,1.06,3.86,8.94,9.14,6.61
147,10,6,6,80,42.58,0.74,3.58,12.53,12.88,9.54
148,10,6,6,60,49.3,0.38,3.23,17.27,17.84,13.49
149,10,6,6,40,56.69,0.02,2.87,23.73,24.61,18.94
150,10,6,6,20,65.59,-0.39,2.41,33.44,34.8,27.25
151,10,6,6,10,70.92,-0.56,2.21,40.39,42.08,33.19
152,100,85,85,0,42.02,-2.58,-1.18,11.7,12.51,10.69
153,80,65,65,0,46.28,-1.66,-0.25,14.65,15.48,12.86
154,60,45,45,0,52.08,-1.72,0.4,19.15,20.21,16.5
155,40,27,27,0,59.98,-2.2,0.37,26.55,28.1,22.98
156,20,12,12,0,70.23,-1.79,0.72,39.04,41.08,33.4
157,10,6,6,0,76.12,-0.82,1.93,47.99,50.08,39.82
158,5,3,3,0,79.3,-0.44,2.42,53.29,55.45,43.75
159,100,0,0,20,51.42,-17.31,-20.69,15.75,19.63,26.48
160,0,100,0,20,48.93,33.98,-0.48,23.85,17.54,14.65
161,0,0,100,20,67.25,-2,46.17,35.05,36.96,9.52
162,100,100,0,20,39.72,5.5,-17.04,11.44,11.09,14.92
163,100,0,100,20,48.57,-25.2,12.91,12.51,17.24,9.83
164,0,100,100,20,47.25,31.65,19,21.73,16.21,7.53
165,40,40,0,20,51.34,5.29,-10.85,19.91,19.56,21.1
